written;hostname;services;procedure;stratos
yes;HACMP_EAS_SAP_FA1;HACMP;http://monitoring-dc.app.corp/kb/system:hacmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;NFS_Share_archives_nfs_availability;http://monitoring-dc.app.corp/kb/app:fcs:/app:fcs:$_HOSTSAPENV:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Oracle_Tablespace_ECR_DATA;http://monitoring-dc.app.corp/kb/app:oracle:tablespace:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Oracle_Tablespace_ECR_INDEX;http://monitoring-dc.app.corp/kb/app:oracle:tablespace:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Oracle_Tablespace_RCS_DATA;http://monitoring-dc.app.corp/kb/app:oracle:tablespace:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Oracle_Tablespace_RCS_INDEX;http://monitoring-dc.app.corp/kb/app:oracle:tablespace:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_appli_oraarchive_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_appli_oradata_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_appli_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_archive_forms_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_archivecache_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_archives_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_burnbuffer_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_diskbuffer_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_dp_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_galaxylog_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_simpana-local_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partition_stormfs_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:partition;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Partitions_free_space;http://monitoring-dc.app.corp/kb/system:aix:partition:;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FA1;Process_java-catalina;http://monitoring-dc.app.corp/kb/system:aix:process:;OP_SYSTEM_UNIX, OP_FR_PILOTS
